Id,Probability
1,0.1644575398364703
2,0.10618107222723268
3,0.03524378054328865
4,0.21361859752748005
5,0.189769501729004
6,0.07827299189688884
7,0.1399518777710163
8,0.10186552874872783
9,0.009960364187353745
10,0.5958658263142479
11,0.028540852577700372
12,0.04244357631214681
13,0.019859815353311345
14,0.1558221927240962
15,0.11757491452756762
16,0.03633357789103552
17,0.06615907157314004
18,0.0452257737092864
19,0.4255534663822257
20,0.22128588600525456
21,0.029166843371580316
22,0.031316468226545345
23,0.011050174306123537
24,0.7278300510746193
25,0.16819181091312158
26,0.04468269176943911
27,0.17739643598969126
28,0.025234265155948392
29,0.12891815277934607
30,0.0642169412372133
31,0.20145186687330544
32,0.02286820618527732
33,0.04949431358772799
34,0.1853521430834075
35,0.5359325942130797
36,0.16375285232198333
37,0.09290769684639467
38,0.029876361634550656
39,0.023997078277388808
40,0.10641872324918658
41,0.52333238034319
42,0.5848365292654736
43,0.22662633402444254
44,0.020736966159027856
45,0.13989895513119513
46,0.009718840189508549
47,0.010489691046495626
48,0.038378237701137886
49,0.05595262860764906
50,0.06921814431047024
51,0.04570425992082489
52,0.05571147734153698
53,0.017746648492994926
54,0.15814464804820327
55,0.04873166593154488
56,0.19719169052453758
57,0.016641360589039474
58,0.21072272897449779
59,0.21351217112776683
60,0.17528604505474502
61,0.060100721327566387
62,0.025980887462073922
63,0.06296029995773043
64,0.019328327732958093
65,0.04102899486923796
66,0.05755627187624293
67,0.035361176636273486
68,0.3025909508845215
69,0.023076311774337603
70,0.9008869895727858
71,0.03854681900777588
72,0.2518689456074496
73,0.025154947315298604
74,0.3510819309332046
75,0.040134860141348996
76,0.0716862903821267
77,0.21672119870948087
78,0.10763640527098839
79,0.06686101812643876
80,0.03929266385660692
81,0.03599133106933823
82,0.04059486123785908
83,0.08017272614035784
84,0.02631325206572113
85,0.05359580381218575
86,0.04261152943463217
87,0.13178832377536048
88,0.033911682867847216
89,0.08274469347311562
90,0.05602188946374711
91,0.07861005391963284
92,0.03681556984272406
93,0.03137957696806123
94,0.037348245241035076
95,0.018034456854499177
96,0.14651557771308893
97,0.06309670565420526
98,0.20446927610899945
99,0.033107309778551655
100,0.024287664058600764
101,0.13559597200854465
102,0.154749759933041
103,0.018322548856297256
104,0.13786690563964893
105,0.09421189305545259
106,0.05557380974703589
107,0.6149208527871131
108,0.037908278668863045
109,0.01686914182762888
110,0.04636200566517894
111,0.05083173478811089
112,0.05763819924521301
113,0.06769736015190585
114,0.7352384489839885
115,0.2129199648769314
116,0.027413695833039174
117,0.009708053275885448
